text,philosopher,work,original_idx
The enors of the senses and of the imagination stem from the constitution and nature of the body and are revealed by considering the soul's dependence on it; but the enors of the pure understanding can be uncovered only by considering the mind itself and the ideas necessary it for knowing objects.,Malebranche,The Search After Truth,120168
"I reply to the second objection, first that it is precisely because the choroid is black and deadens light vibrations that it cannot transmit them to the brain, and on the contrary that since the retina is white and reflects the rays pressed against it, the same vibration occurs in the spirits contained in its filaments as that which occurs in the rays of light, as in the example I have just related about the gut filled with water.",Malebranche,The Search After Truth,129276
"Active and ardent, she will seem 'androgynous,' not because of a mysterious combination of hormones, but simply because aggressiveness and the taste for possession are looked on as virile attributes; Claudine in love with Renaud still covets zi's charms; as fully woman as she is, she still continues to desire to take and caress.",Beauvoir,The Second Sex,350943
"In the following passage, Mr. Malthus has given an able exposition of the causes of the rise in the price of raw produce in rich and progressive countries, in every word of which I concur; but it appears to me to be at variance with some of the propositions maintained by him in some parts of his Essay on Rent.",Ricardo,On The Principles Of Political Economy And Taxation,321528
"But if it be true that an attempt to accumulate very rapidly will occasion such a division between labour and profits as almost to destroy both the motive and the power of future accumulation and consequently the power of maintaining and employing an increasing population, must it not be acknowledged that such an attempt to accumulate, or that saving too much, may be really prejudicial to a country?",Keynes,"A General Theory Of Employment, Interest, And Money",324838
"Such punishments seem ineffective, and were truly such in tyrannical states, where the vigilance of consciences and scandal produced nothing but hypocrisy, 'because the sinew of public opinion in such places has lost its mettle, and because, crucially, good morality is not as essential and integral a part of monarchy as it is in a republic'.",Foucault,History Of Madness,193370
"But if we consider this empirical object in general and, without turning to its agreement with every human sense, ask whether it (not the raindrops, since these, as appearances, are already empirical objects)a represents an object in itself, then the question of the relation of the representation to the object is transcendental, and not only these drops are mere appearances, but even their round form, indeed even the space through which they fall are nothing in themselves, but only mere modifications or foundationsb of our sensible intuition; the transcendental object,' however, remains unknown to us.",Kant,Critique Of Pure Reason,254600
"It may perhaps be objected that in order to define certain laws, even though they are interior to the mechanics of production (such as the accumulation of capital or the relations between wage rates and prices), economics has recourse to human behaviour patterns and a representation that provide its foundation (interest, the search for maximum profit, the tendency to accumulate savings); but, in doing so, it is utilizing representations as the requisite of a function (which occurs, in effect, within an explicitly human activity); on the other hand, there will be no science of man unless we examine the way in which individuals or groups represent to themselves the partners with whom they produce or exchange, the mode in which they clarify or the human sciences ignore or mask this function and the position they occupy in it, the manner in which they represent to themselves the society in which it takes place, the way in which they feel themselves integrated with it or isolated from it, dependent, subject, or free; the object of the human sciences is not that man who, since the dawn of the world, or the first cry of his golden age, is doomed to work; it is that being who, from within the forms of production by which his whole existence is governed, forms the representation of those needs, of the society by which, with which, or against which he satisfies them, so that upon that basis he can finally provide himself with a representation of economics itself.",Foucault,The Order Of Things,199652
"The confessor whispers to the young fianc, on the eve of her wedding, that she can do anything with her husband, as long as 'proper' coitus is achieved; positive birth control practices including coitus interruptus are forbidden; but the calendar established by Viennese sexologists can be used, where the act whose only recognized aim is reproduction is carried out on the days",Beauvoir,The Second Sex,346065
"The presentation of itself, however, as the pure abstraction of self consciousness consists in showing itself as the pure negation of its objective mode, or in showing that it is not attached to any specific existenc.e, not to the individuality common to existence as such, that it is not attached to life.",Hegel,The Phenomenology Of Spirit,278687
"The real value of a commodity is, however, not its individual value, but its social value; that is to say, the real value is not measured by the labour time that the article in each individual case costs the producer, but by the labour time socially required for its production.",Marx,Capital,294167
"We have discovered, with the natural and social worlds, the truly transcendental, which is not the totality of constituting operations whereby a transparent world, free from obscurity and impenetrable solidity, is spread out before an impartial spectator, but that ambiguous life in which the forms of transcendence have their Ursprung, and which, through a fundamental contradiction, puts me in communication with them, and on this basis makes knowledge possible.",Merleau-Ponty,The Phenomenology Of Perception,224570
"As we say that some people who do just acts are not necessarily just, ie those who do the acts ordained by the laws either unwillingly or owing to ignorance or for some other reason and not for the sake of the acts themselves (though, to be sure, they do what they should and all the things that the good man ought), so is it",Aristotle,Aristotle - Complete Works,75736
"So that, however it may be mistaken, the end of law is not to abolish or restrain, but to preserve and enlarge freedom: for in all the states of created beings capable of laws, where there is no law, there is no freedom: for liberty is, to be free from restraint and violence from others; which cannot be, where there is no law: but freedom is not, as we are told, a liberty for every man to do what he lists: (for who could be free, when every other man's humour mightdomineer over him?)",Locke,Second Treatise On Government,87041
"Green grapes, ripe grapes, dried grapes, or raisins: so many changes and mutations of one thing, not into that which was not absolutely, but rather so many several changes and mutations, not into that which hath no being at all, but into that which is not yet in being. '",Marcus Aurelius,Meditations,327411
"It assumes a crescent like appearance when the sun changes its position; for when the circle of the sun reaches the extreme points, which make the moon seem half full, the circumference of the circle appears; for it is no longer in a straight line with the vision, but passes beyond it.",Aristotle,Aristotle - Complete Works,68001
"For with a literary work, the thought is represented not in concrete depiction but only by a series of discrete and abstract signs, and with a technical device, the thought has a completely mechanical content; and the ways and means of producing such things Sacl/et/ qua things, belong to the category of ordinary skills.",Hegel,Elements Of The Philosophy Of Right,285465
"The immediacy that the determinateness has in shine against essence is thus none other than essence's own immediacy, though not the immediacy of an existent but rather the absolutely mediated or reflective immediacy which is shine being, not as being, but only as the determinateness of being as against mediation; being as moment.",Hegel,Science Of Logic,271079
She would have had to be brought up exactly like a to be able to comfortably overcome adolescent narcissism: but in her adult life she perpetuates this cult of self toward which her whole youth has predisposed her; she uses the merits of her professional success to enrich her image; she needs a gaze from above to reveal and consecrate her worth.,Beauvoir,The Second Sex,356132
"But such a field remains defined by a transcendence, even when one considers this transcendence as an absence or an empty locus, performing the necessary foldings, levelings (rabattements), and subordinations a transcendence whence issues throughout the system the inarticulate material flux in which this transcendence operates, opposes, selects, and combines: the signifier.",Deleuze,Anti-Oedipus,215734
"And if the Lacedaemonians had overlooked the art, the teachers of it would certainly not have overlooked this fact, that the Lacedaemonians are the most concerned with such matters of any of the Greeks and that anyone who was honored among them in these matters would make a great deal of money just as is the case when a tragic poet is honored among us.",Plato,Plato - Complete Works,14854
"The extensive and intensive infinity which was substructed through the idealization of the sensible appearances, going beyond all possibilities of actual intuition separability and divisibility in infinitum, and thus everything belonging to the mathematical continuum implies a substruction of infinities for the pZenww qualities which themselves are eo ipso cosubstructed.",Husserl,The Crisis Of The European Sciences And Phenomenology,226525
"Let a man be ever so well persuaded of the advantages of virtue, that it is as necessary to a man who has any great aims in this world, or hopes in the next, as food to life: yet, till he hungers or thirsts after righteousness, till he in the want of it, his will not be determined to any action in pursuit of this confessed greater good; but any other uneasiness he feels in himself shall take place, and carry his will to other actions.",Locke,Essay Concerning Human Understanding,90499
"When women are once sufficiently enlightened to discover their real interest, on a grand scale, they will, I am persuaded, be very ready to resign all the prerogatives of love, that are not mutual, (speaking of them as lasting prerogatives,) for the calm satisfaction of friendship, and the tender confidence of habitual esteem.",Wollstonecraft,Vindication Of The Rights Of Woman,342380
"that is, if he had acquired new ideas in the proper order, according to the standard of the original true idea, he would never have doubted of the truth of his knowledge, inasmuch as truth, as we have shown, makes itself manifest, and all things would flow, as it were, spontaneously towards him.",Spinoza,On The Improvement Of Understanding,110103
"And this is indeed what was found; and thus I was able not only to prove the concept of cause as to its objective reality with regard to objects of experience, but also to deduce it as an a priori concept because of the connection's necessity that the concept carries with it,.e., to establish its possibility from pure understanding without empirical sources.",Kant,Critique Of Practical Reason,247856
"This is, therefore, a need for an absolutely necessary aim, and it justifies its presupposition not merely as a permitted hypothesis, but as a postulate for a practical aim; and, granted that the pure moral law unremittingly obligates everyone as a command (not as a rule of prudence), the righteous person may indeed say: I will that there be a God, that my existence in this world be even apart from the natural connection also an existence in a pure world of understanding, and finally that my duration be endless; I abide by this, and shall not let this faith be taken from me; for, this is the only case where my interest, because I must remit anything of it, unavoidably determines my judgment, without paying attention to subtle reasonings, however little I may be able to answer them or oppose them with more plausible ones.",Kant,Critique Of Practical Reason,249149
"What we have just said but not said clearly, let us say again: when one of the undifferentiated things makes a stand, there is a primitive universal in the mind (for though one perceives the particular, perception is of the universal eg of man but not of Callias the man); again a stand is made in these, until what has no parts and is universal stands eg such and such an animal stands, until animal does, and in this a stand is made in the same way.",Aristotle,Aristotle - Complete Works,42035
"Everything that is praised seems to be praised because it is of a certain kind and is related somehow to something else; for we praise the just or brave man and in general both the good man and excellence itself because of the actions and functions involved, and we praise the strong man, the good runner, and so on, because he is of a certain kind and is related in a certain way to something good and important.",Aristotle,Aristotle - Complete Works,74519
"that, a who combined human nature with some of the powers of a god observed that your leadership was still in a feverish state, so he blended the obstinacy and vigor of the Spartans with the prudent influence of age by giving the twenty eight elders the same authority in making important decisions as the kings.",Plato,Plato - Complete Works,31032
"That the form determines the essence means, therefore, that in its distinguishing form sublates this very distinguishing and is the self identity that essence is as the subsistence of the determinations; form is the contradiction of being sublated in its positedness and yet having subsistence in this sublatedness; it is accordingly ground as essence which is self identical in being determined or negated.",Hegel,Science Of Logic,271876
"But as for the belief that there is particular good will on the part of the Estates towards the universal welfare, we have already noted (see Remarks to that it is character istic of the rabble, and of the negative viewpoint in general, to assume ill will, or less good will on the part of the govern ment.",Hegel,Elements Of The Philosophy Of Right,288551
"Birds and horned animals neither belch nor break wind; and ruminating animals do not belch, because they have several stomachs and the so called 'reticulum'; and so the breath finds a passage up and down through many channels, and the moisture is taken up before it can become vaporized and cause either belching or breaking of wind.",Aristotle,Aristotle - Complete Works,67318
"Thus without a God and a world that is now not visible to us but is hoped for, the majestic ideas of morality are, to be sure, objects of approbation and admiration but not incentives for resolve and realization, because they would not fulfill the whole end that is natural for every rational being and determined a priori and necessarily through the very same pure reason.",Kant,Critique Of Pure Reason,260736
", all its various modifications for by the words thought, mode of thinking, or modification of tire soul, I generally understand all those things that cannot be in the soul without the soul being aware of them through the inner sensation it has of itself such as its sensations, imaginings, pure intellections, or simply conceptions, as well as its passions and natural inclinations.",Malebranche,The Search After Truth,120499
"For the determining basis of the power of choi is then the presentati of an object and also that relation of the presentation to the subject by which the power of desire is determined to Le, lawgiving (not the product faereof): Gesetzgebung, I am refraining from translating this term as 'lawgiving' because this rendering does not work in all contexts, and because it would also obscure the link between the German noun and gesetzgebend, for which (likewise) no term but legislative' works consistently.",Kant,Critique Of Practical Reason,247325
"But when Reason is presented as its own self and its posite, and is held fast in the entirely separate moment of this asunderness, itis apprehended irrationally; and the purer the moments of this asunderness, the cruder is the appearance of this content which is either only for consciousness, or only ingenuously expressed by it.",Hegel,The Phenomenology Of Spirit,279994
"Zarathustra the dancer, Zarathustra the light one, who beckoneth with his pinions, one ready for flight, beckoning unto all birds, ready and prepared, a blissfully light spirited one: Zarathustra the soothsayer, Zarathustra the sooth laugher, no impatient one, no absolute one, one who loveth leaps and side leaps; I myself have put on this crown!.",Nietzsche,Thus Spake Zarathustra,340514
"After the proem, we must distinguish those good qualities of our subject which are outside the sphere of excellence and those which fall within it, as follo those which fall outside the sphere of excellence we shall divide into good birth, physical strength, personal beauty, and wealth, while we shall divide excellence into wisdom, justice, courage and reputable habits of life.",Aristotle,Aristotle - Complete Works,86034
"No new ones arc added to them, because one does not envy him the glory of having collected them, and because it would be a waste of still more time if one wanted to do it, and one would only be leafing through the catalog of those who have commented upon Aristotle.",Malebranche,The Search After Truth,119189
"To begin with resemblance; suppose we coued see clearly into the breast of another, and observe that succession of perceptions, which constitutes his mind or thinking principle, and suppose that he always preserves the memory of a considerable part of past perceptions; it is evident that nothing coued more contribute to the bestowing a relation on this succession amidst all its variations.",Hume,A Treatise Of Human Nature,98555
"Faith in the reality of the external world, whether justified or not, proves this reality for it, whether sufficiently or insufficiently, it pre supposes it, whether explicitly or not, such attempts that have not mas tered their own ground with complete transparency, presuppose a subject which is initially worldless, or not certain of its world, and which basically must first make certain of a world.",Heidegger,Being And Time,235777
"For species attached to foreign bodies or to the substrata, for those to whom nature grants food abundantly and effortlessly, the role of the male is limited to fertilization; when it is necessary to search, chase, or fight to provide food needed for offspring, the male often helps with their maintenance; this help becomes absolutely indispensable in a species where children remain incapable of taking care of their own needs for a long period after the mother stops nursing them: the male's work then takes on an extreme importance; the lives he brought forth could not maintain themselves without him.",Beauvoir,The Second Sex,344274
"When such duplication occurs the one is always functional but not the other, because it is always insufficiently supplied with nourishment as being contrary to nature; it is attached like a tumour (for such growths also receive nourishment though they are a later development than the body proper and contrary to nature).",Aristotle,Aristotle - Complete Works,64113
"The interest of this one is that each accusation is meant to justify one of the provisions of the code against women and the inferior situation in which they are kept Naturally, any 'male office' is forbidden to them; the Velleian decree of the Senate is reinstated, depriving them of all civil capacity; birthright and masculine privilege place them second in line for the paternal inheritance.",Beauvoir,The Second Sex,345232
"But 'work' has two senses; for some things have a work beyond mere employment, as building has a house and not the act of building, medicine health and not the act of curing and restoring to health; while the work of other things is just their employment, eg of vision seeing and of mathematical science contemplation.",Aristotle,Aristotle - Complete Works,78384
"Any change of government which has to be introduced should be one which men, starting from their existing constitutions, will be both willing and able to adopt, since there is quite as much trouble in the reformation of an old constitution as in the establishment of a new one, just as to unlearn is as hard as to learn.",Aristotle,Aristotle - Complete Works,80774
"The ideas of pure reason can never be dialectical in themselves; rather it is merely their misuse which brings it about that a deceptive illusion arises out of them; for they are given as problems for us by the nature of our reason, and this highest court of appeals for all rights and claims of our speculation cannot possibly contain original deceptions and sem blances.",Kant,Critique Of Pure Reason,259780
"You know that ease of learning, good memory, quick wits, smartness, youthful passion, high mindedness, and all the other things that go along with these are rarely willing to grow together in a mind that will choose an orderly life that is quiet and completely stable, for the people who possess the former traits are carried by their quick wits wherever chance leads them and have no stability at all.",Plato,Plato - Complete Works,25600
For a large increase in the quantity of money may cause so much uncertainty about the future that liquidity preferences due to the precautionary motive may be strengthened; whilst opinion about the future of the rate of interest may be so unanimous that a small change in present rates may cause a mass movement into cash.,Keynes,"A General Theory Of Employment, Interest, And Money",323170
"But the deep inequality stems from the fact that the husband finds concrete accomplishment in work or action while for the wife in her role as wife, freedom has only a negative form: the situation of American girls, among others, recalls that of the emancipated girls of the Roman decadence.",Beauvoir,The Second Sex,352464
"Since the goal of knowledge is the truth, what being is in and for itself, knowledge does not stop at the immediate and its determinations, but penetrates beyond it on the presupposition that behind this being there still is something other than being itself, and that this background constitutes the truth of being.",Hegel,Science Of Logic,270978
"However different in kind the presentations of objects may be whether they be presentations of understanding or even of reason, in contrast to presentations of the senses the feeling of pleasure by which alone they properly amount to the determining basis of the will (the agreeableness, the gratification that one expects from them and that impels the activity to produce the object)",Kant,Critique Of Practical Reason,247352
"Constantly recalled to this empty role of the unknown visitor, and challenged in everything that can be known of him, attracted to his own surface by the social type whose form and mask are silently imposed upon him by the gaze, the madman was invited to turn himself into an object for the eyes of reasonable reason, as the perfect stranger, ie he whose foreignness is never perceptible.",Foucault,History Of Madness,193897
"From these, veins extend all over the body, from that on the right hand to the right side and from that on the left hand to the left side; the most important ones, two in number, to the heart in the region of the backbone; others a little higher up through the chest in underneath the armpit, each to the hand on its own side, one being termed the splenetic, and the other the hepatitic.",Aristotle,Aristotle - Complete Works,55860
"The 'matter in hand' has, in this immediate consciousness of its substance, the form of simple essence which, as a universal, contains within itselfall its various moments and belongs to them, but, again, is also indifferent to them as specific moments, and is free and independent, and as this free, simple, ahstract 'matter in hand' has the value of essential being.",Hegel,The Phenomenology Of Spirit,280506
"it, the concept of motion (as alteration of place), is only possible through and in the representation of time that if this representation were not a priori (inner) intuition, then no concept, whatever it might be, could make comprehensible the possibility of an alteration,.e., of a combination of contradictorily opposed predicates (e.g., a thing's being in a place and the not being of the very same thing in the same place) in one and the same object.a Only in time can both contradictorily opposed determinations in one thing be encountered, namely succes sively.",Kant,Critique Of Pure Reason,254538
"These pariahs of society, these long pursued, badly persecuted ones also the compulsory recluses, the Spinozas or Giordano Brunos always become in the end, even under the most intellectual masquerade, and perhaps without being themselves aware of it, refined vengeance seekers and poison Brewers (just lay bare the foundation of Spinoza's ethics and theology!), not to speak of the stupidity of moral indignation, which is the unfailing sign in a philosopher that the sense of philosophical humour has left him.",Nietzsche,Beyond Good And Evil,329024
"In relation to itself, the language of the sixteenth century was in a position of perpetual commentary; but this commentary can take place only if there is language language that silently pre exists within the discourse by which one tries to make that language speak; there can be no commentary without the absolute precondition of the text; and, inversely, if the world is a network of marks and words, how else is one to speak of them but in the form of commentary?",Foucault,The Order Of Things,196477
"Bees seem to take a pleasure in listening to a rattling noise; and consequently men say that they can muster them into a hive by rattling with crockery or stones; it is uncertain, however, whether or no they can hear the noise at all, and also whether their procedure is due to pleasure or alarm.",Aristotle,Aristotle - Complete Works,59374
"Other' or 'the same' can for this reason be predicated of everything with regard to everything else, but only if the things are one and existent, for the other is not the (I) contradictory of the same; which is why it is not predicated of non existent things (while 'not the same' is so predicated).",Aristotle,Aristotle - Complete Works,72901
"But only after it has externalized this individuality in the sphere of culture, thereby giving it an existence, and establishing it throughout the whole of existence only after Spirit has arrived at the thought of utility, and in its absolute freedom has grasped existence as its will, only then does it turn the thought of its inmost dep hs outwards and enunciate essence as 'I' 'I'.",Hegel,The Phenomenology Of Spirit,284040
"The word 'female' evokes a saraband of images: an enormous round egg snatching and castrating the agile sperm; monstrous and stuffed, the queen termite reigning over the servile males; the praying mantis and the spider, gorged on love, crushing their partners and gobbling them up; the dog in heat running through back alleys, leaving perverse smells in her wake; the monkey showing herself off brazenly, sneaking away with flirtatious hypocrisy.",Beauvoir,The Second Sex,343892
"And here the question why there is something rather than nothing seems apposite, and why this particular world has come into being, but the reply is necessarily out of our reach, since we are imprisoned in our psycho physiological make up, which is a simple fact like the shape of our face or the number of our teeth.",Merleau-Ponty,The Phenomenology Of Perception,225047
"Thus (e.g.) it is as much a property of the soul for a part of it to be the primary seat of desire as for a part to be the primary seat of reason, and it is a property of the soul for a part of it to be the primary seat of desire, and so it will be a property of the soul for a part of it to be the primary seat of reason.",Aristotle,Aristotle - Complete Works,43253
"But it is not only in the arts of painting or sculpture, where the name of attribute is customarily employed, that fine art acts in this way; poetry and rhetoric also derive the spirit that animates their works wholly from the aesthetic attributes of the objects attributes which go hand in hand with the logical, and give the imagination an impetus to bring more thought into play in the matter, though in an undeveloped manner, than allows of being brought within the embrace of a concept, or, therefore, of being definitely formulated in language.",Kant,Critique Of Judgement,251031
"My body in the mirror never stops following my intentions like their shadow, and if observation consists in varying the point of view while keeping the object fixed, then it escapes observation and is given to me as a simulacrum of my tactile body since it imitates the body's actions instead of responding to them by a free unfolding of perspectives.",Merleau-Ponty,The Phenomenology Of Perception,220074
"For even though they had supposed that there is a freedom of complete indifference, so that the will can choose without cause, and that thus this effect could not be seen in its cause (which is a great absurdity), they ought always to take into account that God was able to foresee this event in the idea of the possible world that he resolved to create.",Leibniz,Theodicy,114929
"To which, if we add all the self evident propositions which may be made about all our distinct ideas, principles will be almost infinite, at least innumerable, which men arrive to the knowledge of, at different ages; and a great many of these innate principles they never come to know all their lives.",Locke,Essay Concerning Human Understanding,94429
"If such be the force of habit; if such be the bondage of folly, how carefully ought we to guard the mind from storing up vicious associations; and equally careful should we be to cultivate the understanding, to save the poor wight from the weak dependent state of even harmless ignorance.",Wollstonecraft,Vindication Of The Rights Of Woman,342612
"Thus, sand or pounded glass, which is opaque, and white to the naked eye, is pellucid in a microscope; and a hair seen in this way, loses its former colour, and is, in a great measure, pellucid, with a mixture of some bright sparkling colours, such as appear from the refraction of diamonds, and other pellucid bodies.",Locke,Essay Concerning Human Understanding,90950
"Although we are also accustomed (in accordance with this nomenclature) to calling this feeling a 'sense' (a modification of our state), since we lack an alternative expression, it is nonetheless not an objective sense the determination of which is employed for cognition of an object (for to intuit or otherwise perceive something with pleasure",Kant,Critique Of Judgement,253338
"The Principal Principle may be applied as follows: you are sure that some spinner is fair, hence that it has infinitesimal chance of coming to rest at any particular point; therefore (if your total evidence is admissible) you should believe only to an infinitesimal degree that it will come to rest at any particular point.",Lewis,Lewis - Papers,153671
"The theoretical attitude and the thematization of pure idealities and constructions led to pure geometry (under which we include here all pure mathematics of shapes); and later in the reversal which has by now become understandable applied geometry (as we remember) arose, as the practical art of measuring, guided by idealities and the constructions ideally carried out with them:.e.",Husserl,The Crisis Of The European Sciences And Phenomenology,226498
"Thus the bones are a contrivance to give security to the soft parts, to which purpose they are adapted by their hardness; and in animals that have no bones the same office is fulfilled by some analogous substance, as by fish spine in some fishes, and by cartilage in others.",Aristotle,Aristotle - Complete Works,60307
"It remains that the young girl runs a terrible risk in promising to sleep exclusively and for her whole life with a man she does not know sexually, whereas her erotic destiny essentially depends on her partner's personality: this is the paradox on Blum rightfully denounced in his work Marriage.",Beauvoir,The Second Sex,351516
"a wife, mother, housewife, or one woman among millions of others; as a child, by contrast, the woman lived her condition in an individual way; she was unaware of the analogies between her apprenticeship to the world and that of her friends; through her parents, teachers, and friends, she was recognized in her individuality, she thought herself incomparable to any other woman, unique, promised to unique possibilities.",Beauvoir,The Second Sex,355047
"This, though a very useless skill, and that which I think the direct opposite to the ways of knowledge, hath yet passed hitherto under the laudable and esteemed names of and and has had the applause of the schools, and encouragement of one part of the learned men of the world.",Locke,Essay Concerning Human Understanding,93204
"The cowardly, the timid, the insignificant, and those thinking merely of narrow utility are despised; moreover, also, the distrustful, with their constrained glances, the self abasing, the dog like kind of men who let themselves be abused, the mendicant flatterers, and above all the liars: it is a fundamental belief of all aristocrats that the common people are untruthful.",Nietzsche,Beyond Good And Evil,330337
"In a word, let us conceive of the matter contained in this balloon roughly as Descartes described the matter of our vortex, except that the tiny balls of his second element, which he assumed to be hard, are themselves but tiny vortexes, or at least are hard only through the compression of the matter surrounding them.",Malebranche,The Search After Truth,128548
"Then, of Inhibitions, Symptoms, and Anxiety: As soon as writing, which entails making a liquid flow out of a tube onto a piece of white paper, assumes the significance of copulation, or as soon as walking becomes a symbolic substitute for treading upon the body of mother earth, both writing and walking are stopped because they represent the performance of a forbidden sexual act.",Derrida,Writing And Difference,204570
"Is it a sign of the approaching birth, or, even less than that, of the very first glow, low in the sky, of a day scarcely even heralded as yet, but in which we can already divine that thought the thought that has been speaking for thousands of years without knowing what speaking is or even that it is speaking is about to re apprehend itself in its entirety, and to illumine itself once more in the lightning ﬂash of being?",Foucault,The Order Of Things,199234
"No animal bends both its fore limbs and hind limbs backwards; but in the case of all animals the flexion of the shoulders is in the opposite direction to that of the elbows or the joints of the forelegs, and, in the hind legs, the flexure in the hips to that of the knees:",Aristotle,Aristotle - Complete Works,55419
"These have their origins in the heart, for they traverse the other viscera, in whatever direction they happen to run, without in any way losing their distinctive characteristic as veins, whereas the heart is as it were a part of them (and that too more in respect to the frontward and larger one of the two), owing to the fact that these two veins are above and below, with the heart lying midway.",Aristotle,Aristotle - Complete Works,55893
"But since in composite bodies the weight obviously does not correspond in this way to the bulk, the lesser bulk being often seen to be superior in weight (as, for instance, if one be wool and the other bronze), there are some who think and say that the cause is to be found elsewhere.",Aristotle,Aristotle - Complete Works,49082
"And as to the things which might seem most of all to indicate substance, water and earth and fire and air, of which composite bodies consist, heat and cold and the like are modifications of these, not substances, and the body which is thus modified alone persists as something real and as a substance.",Aristotle,Aristotle - Complete Works,71246
"But I take it that for the purpose of the present discussion we are not going to treat this sort of thing as 'education'; what we have in mind is education from childhood in virtue, a training which produces a keen desire to become a perfect citizen who knows how to rule and be ruled as justice demands.",Plato,Plato - Complete Works,30148
"But should the king, by his unjust practices, or his attempts for a tyrannical and despotic power, justly forfeit his legal, it then not only becomes morally lawful and suitable to the nature of political society to dethrone him; but what is more, we are apt likewise to think, that the remaining members of the constitution acquire a right of excluding his next heir, and of chusing whom they please for his successor.",Hume,A Treatise Of Human Nature,101913
"We must take as a sign of states the pleasure or pain that supervenes on acts; for the man who abstains from bodily pleasures and delights in this very fact is temperate, while the man who is annoyed at it is self indulgent, and he who stands his ground against things that are terrible and delights in this or at least is not pained is brave, while the man who is pained is a coward.",Aristotle,Aristotle - Complete Works,74588
"We must either divide signs in the way stated, and among them designate the middle term as the evidence (for people call that the evidence which makes us know, and the middle term above all has this character), or else we must call the arguments derived from the extremes signs, that derived from the middle term the evidence; for that which is proved through the first figure is most reputable and most true.",Aristotle,Aristotle - Complete Works,40826
"Both were still gainers: the worker because he was advanced the fruits of his labour (should read: of the unpaid labour of other workers) before the work was done (should read: before his own labour had borne fruit); the employer (le ma tre), because the labour of this worker was worth more than his wages (should read: produced more value than the value of his wages).",Marx,Capital,298676
"A A character of such a presupposition much too easily to allow itself to be persuaded by this alone straightway to assume a mere creature its own thinking to be an actual being, were it not urged from another source to seek somewhere for a resting place in the regress from the conditioned, which is given, to the unconditioned, which in itself and as regards its mere concept is not indeed actually given, but which alone can complete series of conditions carried out to their grounds.",Kant,Critique Of Pure Reason,259193
"In continuous perception a thing is there for me in the straightforward ontic certainty of immediate presence though I must add: normally; for only when, giving my kinestheses free play, I experience concurrent exhibitings as belonging to it is the consciousness sustained of the one thing in actual presence, exhibiting itself in manifold fashion as itself.",Husserl,The Crisis Of The European Sciences And Phenomenology,228076
"In the summer breezes do not blow from the east, because the sun, when it rises, finds the air in our part of the earth still too dry, owing to the short period of its absence; and West winds do not blow in the evening during the winter, because East winds do not blow in the southern hemisphere either at that time for the aforesaid reasons, in virtue of which the sun attracts the moisture to itself and produces the West wind in our part of the earth.",Aristotle,Aristotle - Complete Works,69383
"Men do not have to care about alleviating the suffering and burdens that are physiologically women's lot since they are 'intended by Nature'; they take this as a pretext to increase the misery of the woman's condition for example, by denying woman the right to sexual pleasure, or making her work like a beast of burden.",Beauvoir,The Second Sex,348130
"The idea of which filling of space is, that where we imagine any space taken up by a solid substance, we conceive it so to possess it, that it excludes all other solid substances; and will for ever hinder any other two bodies, that move towards one another in a straight line, from coming to touch one another, unless it removes from between them in a line not parallel to that which they move in.",Locke,Essay Concerning Human Understanding,89025
"And since these two sides, as quanta, are indeed present as they should be in the explicated quantum, in the ratio, but at the same time have the value, which is specific to them as the sides of the ratio, of being incomplete quanta and of counting only as one of those qualitative moments, they are to be posited with this negation qualifying them.",Hegel,Science Of Logic,270169
"that of a man, who presses a stone, or any solid body, with his hand, and that of two stones, which press each other; it will readily be allowed, that these two cases are not in every respect alike, but that in the former there is conjoined with the solidity, a feeling or sensation, of which there is no appearance in the latter.",Hume,A Treatise Of Human Nature,98223
"The fundamental character of induction is that it is a syllogistic inference; if singularity is taken as the essential determination of the middle term, but universality as only the external determination, then the middle term would fall apart into two disjoined parts, and there would be no inference; this externality belongs rather to the extremes.",Hegel,Science Of Logic,275185
"For by declaring the cognition of truth to be a futile endeavour, this self styled philosophizing has reduced all thoughts and all topics to the same level, just as the depotism of the Roman emperors ret/loved all distinaions between patricians and slaves, virtue and vice, honour and dishonour, and knowledge Ket/ntnis and ignorance.",Hegel,Elements Of The Philosophy Of Right,284222
"I should not, however, on this account have ventured at once on the examination of all the difficulties of the sciences which presented themselves to me, for this would have been contrary to the order prescribed in the method, but observing that the knowledge of such is dependent on principles borrowed from philosophy, in which I found nothing certain",Descartes,Discourse On Method,115572
"But such changes in the amounts saved are no more 'forced savings' than any other changes in the amounts saved due to a change in circumstances; and there is no means of distinguishing between one case and another, unless we specify the amount saved in certain given conditions as our norm or standard.",Keynes,"A General Theory Of Employment, Interest, And Money",322428
"To suggest that it was made for enjoyment, or to be gazed at, contemplated and admired which if the matter ends there, amounts to no more than enjoyment of a particular kind as though enjoyment was the ultimate and final end of the presence here of the world and of man himself, cannot satisfy reason.",Kant,Critique Of Judgement,253020
"An eye, for instance, the animal must have of necessity (for an animal is supposed to be of such a sort), but it will have an eye of a particular kind of necessity in another sense, not the sense mentioned just above, because it is its nature to act or be acted on in this or that way.",Aristotle,Aristotle - Complete Works,64268
"The difference between these two ways of judging natural beings lies simply in the reﬂective power of judgement which certainly can and perhaps must proceed to do what the determining power of judgement (governed by principles of reason) does not concede to the latter with respect to the possibility of objects, and it might be the case that the determining power of judgement is capable of tracing everything back to a mechanical explanation.",Kant,Critique Of Judgement,253302
