text,philosopher,work,original_idx
(That would be a very simple scientific way of imagining it: not really too simple that is very hard to imagine actually. ).,Kripke,Philosophical Troubles,174138
"Since the Lord of heaven had made Adam lord ofthe earth, He wished that Adam give names to the animals as He Himself had given to the stars.",Malebranche,The Search After Truth,127130
"Similarly, certainty as a connection is an immediate pure connection: consciousness is 'J', nothing more, a pure 'This'; the singular consciousness knows a pure 'This', or the single item.",Hegel,The Phenomenology Of Spirit,278757
"After thus cramping a woman's mind, if, in order to keep it fair, he has not made it quite a blank, he advises her to reflect, that a reflecting man may not yawn in her company, when he is tired of caressing her.",Wollstonecraft,Vindication Of The Rights Of Woman,343269
A more essential reflection would be able to show in what Nietzsche calls the pessimism of strength how the uprising of modern humanity into the absolutedomination of subjectivity within the subjectity of beings is fulfilled.,Heidegger,Off The Beaten Track,245016
"The tax at Hamburg, and the still more moderate taxes of Underwald and Zurich, are meant, in the same manner, to be taxes, not upon the capital, but upon the interest or neat revenue of stock.",Smith,The Wealth Of Nations,318220
The singular is particular' is what the positive expression of the negative judgment says.,Hegel,Science Of Logic,275406
"Moreover, as soon as we know the propensity to consume and to save (as I call it), that is to say the result for the community as a whole of the individual psychological inclinations as to how to dispose of given incomes, we can calculate what level of incomes, and therefore what level of output and employment, is in profit equilibrium with a given level of new investment; out of which develops the doctrine of the Multiplier.",Keynes,"A General Theory Of Employment, Interest, And Money",322803
"If I see a man's head, it is the man himself who I see; but if I only see his torso, I see no more than his torso.",Derrida,Writing And Difference,202635
"Thus, there is an infinity of objects whose distance we cannot know since there is an infinity of objects whose size we do not know.",Malebranche,The Search After Truth,118007
"How important is this element in the formation of the relative surplus population, is shown by the example of England.",Marx,Capital,300450
"But as such, it is not only the fluid and petrified substance of money, for it will give to the sterility of money the form whereby money produces money.",Deleuze,Anti-Oedipus,212981
"Then, since temperance is also a science of something, state what that something is which is distinct from temperance itself. '.",Plato,Plato - Complete Works,14651
But what does it mean to think out the phenomenon of resoluteness existentially?.,Heidegger,Being And Time,238545
"Through women, men establish their own connections; through the man woman disjunction, which is always the outcome of filiation, alliance places in connection men from different filiations.",Deleuze,Anti-Oedipus,215751
"This conjugation determines for us a threshold of consciousness at which our real acts are adjusted to our perceptions of the real relations, thereby providing a solution to the problem.",Deleuze,Difference And Repetition,209900
"mutari ac flecti, neque uno statu consistere, quin, ut facies co eli et maris, ita rerztm atque fortunae tempestatibus varientur.",Hegel,Elements Of The Philosophy Of Right,285341
Most of those whom everyone regards as competent see in only very confused fashion the essential difference between the mind and the body.,Malebranche,The Search After Truth,117189
"But what, it may be asked, do I mean by this property of existence or reality, which may, it would seem, belong to every content, which I observe, or may again belong to none, or which may belong to some and not to others?.",Moore,Philosophical Studies,135911
"I roughly that the na tive will assent to 'Gavaga under ust those stimulations under which we, if asked, would assent to 'Rabbit?'; and correspondingly for dissent.",Quine,Quintessence,161167
It is this determination that stands out as a result in the moments we have seen.,Hegel,Science Of Logic,271111
"That women's procreative, child rearing and housekeeping roles make it possible for their family members to work to exchange their labor power for wages can hardly be denied.",Davis,"Women, Race, And Class",360656
"In an accidental sense,. g. , we say the just is musical, and the man is musical and the musical is a man, just as we say the musical builds, because the builder happens to be musical or the musical happens to be a builder; for here 'one thing is another' means 'one is an accident of another'.",Aristotle,Aristotle - Complete Works,72069
Those. who refuse to go beyond the form of religion when confronted by the state.,Hegel,Elements Of The Philosophy Of Right,288886
"The postulates arising ftom this now contain the harmonies both in and ftJr themselves, whereas previously they were postulated only as separate, one being in itself or implicit and the other being for itself or explicit.",Hegel,The Phenomenology Of Spirit,283254
"It may, nevertheless, happen, that an avaricious, an ambitious, or a timid man may abstain from excess in eating, drinking, or sexual indulgence, yet avarice, ambition, and fear are not contraries to luxury, drunkenness, and debauchery.",Spinoza,Ethics,109091
"If, however, these properties (heat and cold) do belong to the indivisibles, it is a further absurdity that they should not possess heaviness and lightness, and hardness and softness.",Aristotle,Aristotle - Complete Works,50099
"All obscure impulse darkness and dismay is at an end, the good man was precisely he who was least aware of the proper way.",Nietzsche,Ecce Homo,332941
"Do you see, my good Callicles, that you and I are not accusing each other of the same thing?.",Plato,Plato - Complete Works,19202
"The possi bility of the hypothesis, the reality of that which is thought up in behalf of the hypoth esis.",Kant,Critique Of Pure Reason,257228
But that only means that it is a somewhat late portion of a continuous process of which the earlier parts have less emotional interest.,Russell,The Analysis Of Mind,132961
"Within them, however, and hovering above them, a boundless chatter about being has spread itself far and wide.",Heidegger,Off The Beaten Track,247049
"For at that rate, simple objects too could be defined by merely calling them by a different name, eg cloak instead of doublet.",Aristotle,Aristotle - Complete Works,43875
"what they, or what science in general, had meant and could mean for human existence.",Husserl,The Crisis Of The European Sciences And Phenomenology,226863
"The old self employing possessors of the land thus give rise among themselves to a nursery for capitalist tenants, whose development is conditioned upon the general development of capitalist production outside of the rural districts. '.",Lenin,Essential Works Of Lenin,303495
"Bayle avows: 'that one finds everywhere both moral good and physical good, some examples of virtue, some examples of happiness, and that this is what makes the difficulty.",Leibniz,Theodicy,113293
"It must therefore be posited as this self sublating contradiction, and be determined as subsistence existing for itself, one which no longer has a merely indifferent unity for result but a unity immanently negative and absolute.",Hegel,Science Of Logic,271810
"But friendship and generosity, which accomplish this recognition of freedoms concretely, are not easy virtues; they are undoubtedly man's highest accomplishment; this is where he is in his truth: but this truth is a struggle endlessly begun, endlessly abolished; it demands that man surpass himself at each instant.",Beauvoir,The Second Sex,347257
"As a contract of this kind saves the farmer the expense and trouble of marketing, the contract price is generally lower than what is supposed to be the average market price.",Smith,The Wealth Of Nations,310412
"Thus, if such an attack is carried out on a citizen of a state by one of his fellow citizens or by a citizen of a state at peace with one's own state, then it is immoral and is absolutely contrary to right; but the attack is not absolutely immoral if it is carried out by an armed enemy, for in this case the warring states are engaged in dispute over what is right, and from the perspective of external right it is problematic which state is right.",Fichte,The System Of Ethics,266439
The abstract movement carves out within that plenum of the world in which concrete movement took place a zone of reﬂection and subjectivity; it superimposes upon physical space a virtual or human space.,Merleau-Ponty,The Phenomenology Of Perception,221138
"latter do not fact contain the conditions for the reproduction of their process; they point to the social machines that condition nd organize them, but als limit and inhibit their development.",Deleuze,Anti-Oedipus,215321
The absence of all direct links guarantees their common participation in the divine substance.,Deleuze,Anti-Oedipus,218085
"In its finitude, man's spirit is less a shaft of the great light than a fragment of shadow.",Foucault,History Of Madness,188390
"There is also still in France a pre understanding and ready welcome for those rarer and rarely gratified men, who are too comprehensive to find satisfaction in any kind of fatherlandism, and know how to love the South when in the North and the North when in the South the born Midlanders, the good Europeans.",Nietzsche,Beyond Good And Evil,331344
"Thus a conflict may arise between what is and what ought to be, between the right which has being in and for itself, which remains unaltered, and the arbitrary determination of what is supposed to be accepted as right.",Hegel,Elements Of The Philosophy Of Right,285072
"A trifle is enough to distract them, the slightest cry frightens them, the least motion fascinates them.",Malebranche,The Search After Truth,119384
"But if aggregate saving is necessarily and in all circumstances exactly equal to aggregate investment, it is evident that this explanation collapses.",Keynes,"A General Theory Of Employment, Interest, And Money",322809
Now for us this difficulty is solved naturally by the fact that there is a third factor.,Aristotle,Aristotle - Complete Works,74028
It is not some kind of inert thing; it too has something of the momentum of existence.,Merleau-Ponty,The Phenomenology Of Perception,220729
"If, then, we also adhere to this form in relation Beziehwlg to the state and act as if it were the essentially valid and determining factor in this political context, too, we thereby expose the state, as an organism within which lasting bestehetlde differences, laws, and institutions have developed, to instability, insecurity, and disruption.",Hegel,Elements Of The Philosophy Of Right,288896
"Certainly not; they are production only when brought into connection with real social production, real desiring production.",Deleuze,Anti-Oedipus,217853
"But in the following Elucidation, I shall see out in more detail the marvel of Providence in the construction of the eye and in the use of the pans of which it is composed.",Malebranche,The Search After Truth,129551
"In so far as I am born into the world, and have a body and a natural world, I can find in that world other patterns of behaviour with which my own interweave, as we have explained above.",Merleau-Ponty,The Phenomenology Of Perception,225220
"Overwhelmed by the thanklessness of her chores, she feels less and less able to carry them out.",Beauvoir,The Second Sex,357376
"The Visual room' seemed like a discovery, but what its discoverer really found was a new way of speaking, a new comparison; it might even be called a new sensation.",Wittgenstein,Philosophical Investigations,141807
"Persons who have fallen into a deep trance, and have come to be regarded as dead, say many things while in this condition.",Aristotle,Aristotle - Complete Works,54429
"Since we can distinguish between a magnitude and what it is to be a magnitude, and between water and what it is to be water, and so in many other cases (though not in all; for in certain cases the thing and its form are identical), flesh Retaining de auton.",Aristotle,Aristotle - Complete Works,53577
"The self expansion of capital by means of machinery is thenceforward directly proportional to the number of the workpeople, whose means of livelihood have been destroyed by that machinery.",Marx,Capital,296643
"Similarly, in Russia, the theoretical doctrine of Social Democracy arose quite independently of the spontaneous growth of the labor movement; it arose as a natural and inevitable outcome of the development of ideas among the revolutionary socialist intelligentsia.",Lenin,Essential Works Of Lenin,304127
The surrounding world of nature is also at hand in the usage of clock equipment which is at first inconspic uously at hand.,Heidegger,Being And Time,233914
"Political writers tell us, that in every kind of intercourse, a body politic is to be considered as one person; and indeed this assertion is so far just, that different nations, as well as private persons, require mutual assistance; at the same time that their selfishness and ambition are perpetual sources of war and discord.",Hume,A Treatise Of Human Nature,102324
"Also those who speak ill of us, and show contempt for us, in connexion with the things we ourselves most care about: thus those who are eager to win fame as philosophers get angry with those who show contempt for their philosophy; those who pride themselves upon their appearance get angry with those who show contempt for their appearance; and so on in other cases.",Aristotle,Aristotle - Complete Works,84093
The disjunctive synthesis of recording therefore comes to overlap the I connective syntheses of production.,Deleuze,Anti-Oedipus,213024
"Generally, in Oriental and Greco Roman civilization, abortion was allowed by law.",Beauvoir,The Second Sex,346849
"With Bichat, knowledge of life finds it origin in the destruction of life and in its extreme opposite; it is at death that disease and life speak their truth:.",Foucault,The Birth Of The Clinic,187247
"Such eggs in birds are all unfruitful; but it is their nature to be independently capable of generation up to the egg stage, unless indeed there be some other mode than the one familiar to us of intercourse with the male; but concerning these topics we shall treat more precisely later on.",Aristotle,Aristotle - Complete Works,57025
"and so we find the possibility that there too, where being is thought as the risk, that which risks more than even being itself can prevail, if we are representing being as we usually do, on the basis of beings.",Heidegger,Off The Beaten Track,246567
"It would seem that, when we make a statement about something only known by description, we often intend to make our statement, not in the form involving the description, but about the actual thing described.",Russell,The Problems Of Philosophy,134049
"The boor, again, is useless for such social intercourse; for he contributes nothing and finds fault with everything.",Aristotle,Aristotle - Complete Works,75628
"But, if the sexes be really to live in a state of warfare, if nature has pointed it out, let men act nobly, or let pride whisper to them, that the victory is mean when they merely vanquish sensibility.",Wollstonecraft,Vindication Of The Rights Of Woman,343836
"Prolegomena zu reinen Logik, Chapter, in which the dependence of normative disciplines on theoretical disciplines is demonstrated.",Husserl,The Crisis Of The European Sciences And Phenomenology,230587
"They are the elements of the organs, but they traverse them, relate them together, and constitute vast 'systems' above them in which the human body finds the concrete forms of its unity.",Foucault,The Birth Of The Clinic,187020
"This certainty in the result, and this possibility of interrupting the work are, of course, easier to be attained in the purely mechanical industries than in those in which chemical and physical processes play a part; as, for instance, in the earthenware trade, in bleaching, dyeing, baking, and in most of the metal industries.",Marx,Capital,297219
"to the plan sketched above, be met by comparing together the conclusion with its contradictory, and ensuring that it involves the same attribute in the same respect and relation and manner and time.",Aristotle,Aristotle - Complete Works,44955
"But now when we've barely gotten through the one about how that which is not is not, he's thrown another one down and we have to show that falsity is present in both speech and belief.",Plato,Plato - Complete Works,6409
"For sometimes the demagogues, in order to curry favour with the people, wrong the notables and so force them to combine either they make a division of their property, or diminish their incomes by the imposition of public services, and sometimes they bring accusations against the rich so that they may have their wealth to confiscate.",Aristotle,Aristotle - Complete Works,81666
"They will smile, yes, they will smile, though told that In beauty's empire is no mean, And woman either slave or queen, Is quickly scorn'd when not ador'd.",Wollstonecraft,Vindication Of The Rights Of Woman,342819
"Fragments of this chain are the single sciences, each of which has a before and an after or, more accurately said, has in possession only the before and in its conclusion points to its after.",Hegel,Science Of Logic,277896
"For, our senses failing us in the discovery of the bulk, texture, and figure of the minute parts of bodies, on which their real constitutions and differences depend, we are fain to make use of their secondary qualities as the characteristical notes and marks whereby to frame ideas of them in our minds, and distinguish them one from another: all which secondary qualities, as has been shown, are nothing but bare powers.",Locke,Essay Concerning Human Understanding,91309
"is the infinite merely of the imagination or a merely intended infinite, for it has no actuality, there is simply.",Hegel,Science Of Logic,270278
"They may be all well and good for other purposes, but we are afraid that our guardians will be made softer and more malleable by such shudders.",Plato,Plato - Complete Works,23770
"As you know, he taught them horsemanship and they were as good as any Athenian the liberal arts, and athletic games; he brought them up to be as good as anyone at every skill for which there are teachers; and yet he didn't want to make them good men?.",Plato,Plato - Complete Works,37440
"As long as 'nec' is used as a statement operator, on a par with negation, the analogous course suggests itself again: we write not only 'nec )' but also 'nec (x from which by quantification we can form and the like.",Quine,Quintessence,166225
"At the same time, the prove nance of this question betrays its inappropriateness with regard to a primordial existential interpretation of the totality of occurrence of Da sein.",Heidegger,Being And Time,240190
"In the absence of this, indifference, doubt, and finally strict criticism are rather proofs of a well grounded way of thinking.",Kant,Critique Of Pure Reason,254495
But we cannot have reason to reject a belief except on the ground of some other belief.,Russell,The Problems Of Philosophy,133732
"But their trailblazing role was all but ignored by the leading initiators of the new movement, who did not comprehend that women workers experienced and challenged male supremacy in their own special way.",Davis,"Women, Race, And Class",358386
"Here nothing whatsoever, neither A nor, nothing at all, is possible through a force of nature, for the final product of a force of nature is a drive, which as such exercises no causality.",Fichte,The System Of Ethics,264185
"I believe,' said Cyprien, the protagonist of a Hoffmann novel, I firmly believe that through abnormal phenomena, Nature allows us to peer into the most fearsome abysses, and in fact at the very heart of the terror that has often overcome me through this strange commerce with the mad, intuitions and images have often risen up in my spirit, lending it an extraordinary new life, vigour and energy.",Foucault,History Of Madness,195054
Axelrod repeated to you over and over again since 'The problem of the Russian Social Democrats acquiring direct and indirect allies among the non proletarian classes will be solved principally by the character of the propagandist activities conducted among the proletariat itself'?.,Lenin,Essential Works Of Lenin,304715
"she approaches it with the fervor of a convert; she is converted to love, life, God, art, and humanity: she loses and magnifies herself in these entities.",Beauvoir,The Second Sex,355541
The I relations among the stages mirror the structure of the identity relations among the continuants.,Lewis,Lewis - Papers,147222
"In the Lynceus of Theodectes, for instance, the complication includes, together with the presupposed incidents, the seizure of the child and that in turn of the parents.",Aristotle,Aristotle - Complete Works,86889
"Lastly, when there can be no supposition (the thing in its own nature indifferent, and wholly depending upon the testimony of witnesses) that there is as fair testimony against, as for the matter of fact attested; which by inquiry is to be learned,. g.",Locke,Essay Concerning Human Understanding,95966
"Our relationship to the social is, like our relationship to the world, deeper than any express perception or any judgement.",Merleau-Ponty,The Phenomenology Of Perception,225298
These seem to me to be the most obvious objections to the assertion that all our true ideas are useful.,Moore,Philosophical Studies,136432
"If, however, I have succeeded in shewing that it is not the rise in the money wages of labour which raises the price of commodities, but that such rise always affects profits, it will follow that the prices of commodities would not rise in consequence of a bounty.",Ricardo,On The Principles Of Political Economy And Taxation,321888
But what produces the hiatuses (coupuresi and their distribution that indeed keep the family from being an interior.,Deleuze,Anti-Oedipus,214535
Therefore that being that you are able to think of as product of freedom would have to be a being that proceeds from thinking.,Fichte,The System Of Ethics,262426
"more beautiful doth it ever become, and more graceful but internally harder and more sustaining.",Nietzsche,Thus Spake Zarathustra,338446
Certain misunderstandings and objections make it necessary to add the following remark:.,Fichte,The System Of Ethics,262774
"By considering the body in movement, we can see better how it inhabits space (and, moreover, time) because movement is not limited to submitting passively to space and time, it actively assumes them, it takes them up in their basic significance which is obscured in the commonplaceness of established situations.",Merleau-Ponty,The Phenomenology Of Perception,220993
It creates idiopathic diseases using the element that formed the general agent of all the sympathies.,Foucault,History Of Madness,191971
"If there is still a resemblance to dreams, it is through all that which, in dreams, is the play between luminous appearances and dull reality, the insistence of need and the servitude of fascination, all the elements that form a wordless dialogue between day and light.",Foucault,History Of Madness,192759
"The evil will wills something opposed to the universality of the will, whereas the good acts in accordance with its true concept The difficulty about the question of how the will can also be evil usually arises because we think of the vill as having only a positive relationship to itself, and envisage it as something determinate which exists for itself, ie as the good.",Hegel,Elements Of The Philosophy Of Right,287368
The reason is that the fish kind is very fertile; now it is impossible for many eggs to reach completion within the mother and therefore they lay them outside.,Aristotle,Aristotle - Complete Works,63851
This perception thus represents (staying for now only with outer intuitions) something real in space.,Kant,Critique Of Pure Reason,258575
"Time itself unfolds (that is, apparently ceases to be a circle) instead of things unfolding within it (following the overly simple circular figure).",Deleuze,Difference And Repetition,208474
"We must state whether it belongs to one or to different sciences to inquire into the truths which are in mathematics called axioms, and into substance.",Aristotle,Aristotle - Complete Works,71690
"Lansburgh did not add up the columns and therefore, strangely enough, failed to observe that if the figures prove anything at all, they prove that he is wrong, for the exports to countries financially dependent on Germany have grown more rapidly, if only slightly, than those to the countries which are financially independent.",Lenin,Essential Works Of Lenin,306515
"That someone is this or that determinate individual is something contingent, and hence something that has an empirical origin.",Fichte,The System Of Ethics,265661
"To be sure, reflecting upon myself in my self consciousness, Ifindmyself to be living in the world in such a way that I am affected by and deal with individual things; and so the reduction continually yields individual representations, individual feelings, individual acts.",Husserl,The Crisis Of The European Sciences And Phenomenology,229926
"my young friend, that we're now in extreme ignorance about it, though it appears to us that we're saying something.",Plato,Plato - Complete Works,6137
"Only this self usto,ring Sameness, or this reflection in otherness within itself not an original or immediate unity as such is the True.",Hegel,The Phenomenology Of Spirit,278051
"Similarly when we speak of a sensation of movement, or of a consciousness sui generis of movement, or, like the Gestalt psychologists, of a global movement, a phenomenon in which no moving object and no particular position of a moving object is given, this is merely verbiage unless we say how 'what is given in this sensation or this phenomenon, or what is grasped through them, is immediately conveyed (dokumentiert) as movement'.",Merleau-Ponty,The Phenomenology Of Perception,223774
"This operation is carried out by a method which ensures a monocentricity of all the possible centres of finite representation, a convergence of all the finite points of view of representation.",Deleuze,Difference And Repetition,211966
"The same thing will happen in the case of a larger number of circles, only one of them being set in motion.",Aristotle,Aristotle - Complete Works,65934
"What compels the theorist to search for a better theory, in these cases, is almost always the experimental falsification of a theory, so far accepted and corroborated:.",Popper,The Logic Of Scientific Discovery,167937
"what resource for us amidst the innumerable ills of life, did not religion suggest some methods of atonement, and appease those terrors with which we are incessantly agitated and tormented?.",Hume,Dialogues Concerning Natural Religion,103869
"Therefore, every man, solely by the laws of his nature, desires the one, and shrinks from the other, andc.",Spinoza,Ethics,109333
"Well now, there's a new point we ought to notice: in this business, the safest method is to sketch a few model rules.",Plato,Plato - Complete Works,33035
"I do not think I will stay here dishonored, and pile up riches and wealth for you.",Plato,Plato - Complete Works,21593
"It is, on the contrary, because I perceived it as identical during that movement with an implicit identity which remains to be described that I go to 'thetic' (Translator's note).",Merleau-Ponty,The Phenomenology Of Perception,223805
"But he takes pains especially to pile up many authorities one upon the other, in order to show that theologians of all parties reject the use of reason just as he does, and that they call attention to such gleams of reason as oppose religion only that they may sacrifice them to faith by a mere repudiation, answering nothing but the conclusion of the argument that is brought against them.",Leibniz,Theodicy,111549
"For fear of being obliged to admit an imaginary necessity, or at least one different from that in question, they have admitted something which happens without the existence of any cause or reason for it.",Leibniz,Theodicy,115342
"For I does relate the men Ralph and Ortcutt precisely as belief, was intended to do.",Quine,Quintessence,165349
"But no sooner do we depart from sense and instinct to follow the light of a superior principle, to reason, meditate, and reflect on the nature of things, but a thousand scruples spring up in our minds concerning those things which before we seemed fully to comprehend.",Berkeley,A Treatise Concerning The Principles Of Human Knowledge,106041
But this characteristic must be preserved; for the growth we are discussing has been assumed to be thus characterized.,Aristotle,Aristotle - Complete Works,49904
"For even if they think they are studying nature, you must realize that all their lives they are merely dealing with this world order, how it came to be, how it is affected, and how it acts?.",Plato,Plato - Complete Works,9790
There is one sort of labour which adds to the value of the subject upon which it is bestowed; there is another which has no such effect.,Smith,The Wealth Of Nations,311816
"Moreover there is the putting of one's questions alternately, whether one has more than one argument leading to the same conclusion, or whether one has arguments to show both that something is so, and that it is not so; for the result is that he has to be on his guard at the same time either against more than one line, or against contrary lines, of argument.",Aristotle,Aristotle - Complete Works,44679
"Now suppose a society to consist of landlords, manufacturers, farmers, and labourers.",Ricardo,On The Principles Of Political Economy And Taxation,321273
Perhaps after all it would be better never to use the expression 'probability of statements' if we have the probability of events in mind.,Popper,The Logic Of Scientific Discovery,170508
"The mistake of reﬂective philosophies is to believe that the thinking subject can absorb into its thinking or appropriate without remainder the object of its thought, that our being can be brought down to our knowledge.",Merleau-Ponty,The Phenomenology Of Perception,220458
"Consciousness, however, is for itself its own cept Consciousness furnishes its own criterion in it itself.",Heidegger,Off The Beaten Track,244261
"and, are obviously not identical, since one is an extensional language and the other is not, But they are closely related.",Lewis,Lewis - Papers,151727
They buy up 'outsiders' (those outside the trusts) and pay them 'indemnities' of and even marks.,Lenin,Essential Works Of Lenin,305603
"But if there are several sciences of the causes, and a different science for each different principle, which of these sciences should be said to be that which we seek, or which of the people who possess them has the most scientific knowledge of the object in question?.",Aristotle,Aristotle - Complete Works,71429
"Now we must first understand the truth about the nature of the soul, divine or human, by examining what it does and what is done to it.",Plato,Plato - Complete Works,11771
"awoke, in the precious instrument it held at its mercy, vibrations more and more piercing.",Beauvoir,The Second Sex,347698
"Let us think how this contradiction appears in physics: more or less as follows a particle cannot have two velocities at the same time; that is to say, it cannot be in two places at the same time; that is to say, particles that are in different places at the same time cannot be identical.",Wittgenstein,Tractatus Logico-Philosophicus,145751
"His whole gains, however, are commonly called profit, and wages are, in this case, too, confounded with profit.",Smith,The Wealth Of Nations,308487
"In most cases the male does not insert any part into the female, but the female from below upwards into the male; this has been observed in many cases (as also that the male mounts the female), the opposite in few cases; but observations are not yet comprehensive enough to enable us to make a distinction of classes.",Aristotle,Aristotle - Complete Works,62958
"Dr. Ballard gives it as the general opinion of the whole body of medical officers in London, that cubic feet is the minimum space proper for each person in a bedroom or workroom.",Marx,Capital,297137
But it is just this contingency that makes it so difficult for our understanding to reduce the multiplicity of nature to the unity of knowledge.,Kant,Critique Of Judgement,252958
"History has always been conceived as the movement of a resumption of history, as a detour between two presences.",Derrida,Writing And Difference,206500
"The practice of the world goes farther in teaching us the degrees of our duty, than the most subtile philosophy, which was ever yet invented.",Hume,A Treatise Of Human Nature,102347
"'Ondine, one dines'; and her first long date with the poet had been described in great detail in a poem he wrote eleven years earlier.",Beauvoir,The Second Sex,348950
"For instance, it must not be the sort of visual experience that we have when it is pitch dark.",Lewis,Lewis - Papers,157865
"possibility of its object, the highest good, which moreover is absolutely necessary practically, and theoretical reason is thereby entitled to presuppose them.",Kant,Critique Of Practical Reason,249869
"Our influence on others is conditioned by this opinion they have of us, and thus it is our duty to preserve and to defend it.",Fichte,The System Of Ethics,266511
"the slower it would move, owing to the increase in weight due to the increased number of triangles.",Aristotle,Aristotle - Complete Works,49399
", consciousness itself comes to be determined as diverse, as being good or had; not because it had for its principle.",Hegel,The Phenomenology Of Spirit,282263
"In this case, if he made a judgement about himself, he himself might be a constituent of the judgement.",Russell,The Problems Of Philosophy,134027
"If therefore it changes into a contrary condition, it either remains permanently in that condition, or else the hair will again prevail over the moisture.",Aristotle,Aristotle - Complete Works,67408
"Future history resolves itself, in their eyes, into the propaganda and the practical carrying out of their social plans.",Marx,The Communist Manifesto,303377
"classes of 'higher' and 'lower' dimension, will be used here to tackle the problem of comparing.",Popper,The Logic Of Scientific Discovery,168061
"This derived function, however, is not immediately given, nor is it by itself already given which part or determination of the mathematical object should be considered as the derived function in order that, by reducing it to the original, the other part or determination whose magnitude is being sought in the problem might be found.",Hegel,Science Of Logic,270837
when the same thing is predicated primitively of several things neither will be in the other).,Aristotle,Aristotle - Complete Works,41526
"But at every turn, they were betrayed, spurned and rejected by the leaders of the lily white woman suffrage movement.",Davis,"Women, Race, And Class",359535
"What does one mean, then, if one speaks of an object corresponding to and therefore also distinct from the cognition?.",Kant,Critique Of Pure Reason,256025
I mean that which you express by the words 'is' and 'is not' and the other terms used in our questions about them just now?.,Plato,Plato - Complete Works,4641
"The position of the uterus differs in animals viviparous within themselves and those externally oviparous, and in the latter class again it differs in those which have the uterus low and those which have it near the hypozoma, as in fishes compared with birds and oviparous quadrupeds.",Aristotle,Aristotle - Complete Works,62912
But signs are themselves initially useful things whose specific char acter as useful things copsists in indicating.,Heidegger,Being And Time,234026
"But this excessive irritation has the peculiarity that, in its intensity, it causes the sensations of the soul to diminish and sometimes disappear altogether, as though the sensitivity of the nervous organ itself were greater than the capacity of the soul to experience sensation, and confiscated for its own ends the multiplicity of sensations that its extreme mobility elicits.",Foucault,History Of Madness,192016
"Among those who trust induction, those who are sorely deceived are just as numerous as those who are not.",Lewis,Lewis - Papers,146364
"There is nothing more wretched than that soul, which in a kind of circuit compasseth all things, searching (as he saith) even the very depths of the earth; and by all signs and conjectures prying into the very thoughts of other men's souls; and yet of this, is not sensible, that it is sufficient for a man to apply himself wholly, and to confine all his thoughts and cares to the tendance of that spirit which is within him, and truly and really to serve him.",Marcus Aurelius,Meditations,326550
"Even though, for each, this gesture has an entirely different meaning, or at least does so apparently.",Derrida,Writing And Difference,202206
"The clinician's description, like the philosopher's analysis, proffers what is given by the natural relation between the operation of consciousness and the sign.",Foucault,The Birth Of The Clinic,186600
"When the present misery of another has any strong influence upon me, the vivacity of the conception is not confined merely to its immediate object, but diffuses its influence over all the related ideas, and gives me a lively notion of all the circumstances of that person, whether past, present, or future; possible, probable or certain.",Hume,A Treatise Of Human Nature,100323
"Something that lies within, which we see when we look into the thing, and which an analysis digs out. '.",Wittgenstein,Philosophical Investigations,139752
"The god, therefore, who has language for the element of his shape is the work of art that is in its own self inspired, that possesses immediately in its outer existence the pure activity which, when it existed as a Thing, was in contrast to it.",Hegel,The Phenomenology Of Spirit,284146
"But this is meager revenge; no matter how determined she might be to make men stew, she will never compensate for the infinite hours she has spent being subjected to and watching out and hoping for the male's goodwill.",Beauvoir,The Second Sex,355915
"What is posited in this judgment is the necessary connectedness of immediate determinacies, a connectedness which in the categorical judgment is not yet posited.",Hegel,Science Of Logic,275573
"Even clearer than this, I thought that ten was more than eight because two had been added, and that a two cubit length is larger than a cubit because it surpasses it by half its length.",Plato,Plato - Complete Works,1802
"Whether biology, linguistics, or literature is in question, how can an organized totality be perceived without reference to its end, or without presuming to know its end, at least?.",Derrida,Writing And Difference,201175
"That is to say, of things which one has learned, that is, perceived that kind of 'something'?.",Plato,Plato - Complete Works,4124
"In the reversal of objective representation, the logic of the heart corresponds to the saying of mem ory.",Heidegger,Off The Beaten Track,246582
"which. Or again: If I had turned away then, I could not have said what colour it was.",Wittgenstein,Philosophical Investigations,144079
"It must analyze the function of desire, in itself and in the groups with which it is involved.",Deleuze,Anti-Oedipus,212739
"Fest blcibt Eins; es sei um Mittag odcr es gehe Bis in die Mittemacht, immer bestcht ein Maas, Allen gemein, doch.",Heidegger,Off The Beaten Track,245836
"They cannot see the essence of things within themselves since, given their own limitations, created minds cannot contain all beings as does God, who might be termed universal being, or simply, He Who is, as He calls Himself.",Malebranche,The Search After Truth,121147
"But when we examine our idea of all finite minds, we do not see any necessary connection between their will and the motion of any body whatsoever.",Malebranche,The Search After Truth,124799
"One must undertake the resolution of the others in a very different manner: it is necessary to resolve them through hypotheses, and to examine whether these hypotheses lead to some absurdity or to some clearly known truth.",Malebranche,The Search After Truth,125841
I leave it to you and the god to judge me in the way that will be best for me and for you.,Plato,Plato - Complete Works,671
"If, after I have filed my complaint, the state forces him to provide reparation and recompense, I can always continue to employ rational arguments afterwards in order to get him to recognize the legitimacy and rationality of a certain course of action, even though he can no longer act upon this realization, and in order to bring him to subordinate his will to justice, to which hitherto only his external acting had been coercively subordinated and indeed, it is my duty to do this.",Fichte,The System Of Ethics,266478
But the distribution should be made with some such intention as this: each man who receives a portion of land should regard it as the common possession of the entire state.,Plato,Plato - Complete Works,32102
